"project_id","project_name","milestone_name","milestone_description","milestone_status","milestone_start_date","milestone_completion_date","planned_start_date","planned_completion_date","document_id","document_name"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7618,"Supplier payment reconciliation"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7619,"Supplier payment reconciliation"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7620,"Supplier payment reconciliation"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7621,"Supplier payment reconciliation"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7622,"Afritech last payment"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7623,"Afritech last payment"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7624,"Afritech last payment"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Afritech final payment","Pending","2017-04-13 05:00:00","2017-06-01 05:00:00","2017-04-13 05:00:00","2017-06-01 05:00:00",7625,"Afritech final payment"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Afritech final payment","Pending","2017-04-13 05:00:00","2017-06-01 05:00:00","2017-04-13 05:00:00","2017-06-01 05:00:00",7626,"Afritech final payment"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Afritech final payment","Pending","2017-04-13 05:00:00","2017-06-01 05:00:00","2017-04-13 05:00:00","2017-06-01 05:00:00",7627,"Afritech final payment"
